TIME,RPM,CLT
14.88,3005,37
14.92,2986,37
14.96,2961,37
15,2989,36
15.04,3023,36
15.08,3036,37
15.12,3048,36
15.16,3060,36
15.2,3035,36
15.24,3012,37
15.28,3037,36
15.32,3050,36
15.36,3040,36
15.4,3061,36
15.44,3076,36
15.48,3050,36
15.52,3008,36
15.56,3009,36
15.6,3032,36
15.64,3012,36
15.68,3023,36
15.72,3055,36
15.76,3081,36
15.8,3065,36
15.84,3069,36
15.88,3084,36
15.92,3094,36
15.96,3111,36
16,3074,36
16.04,3063,36
16.08,3059,36
16.12,3041,36
16.16,3042,36
16.2,3077,36
16.24,3068,36
16.28,3066,36
16.32,3048,36
16.36,3059,36
16.4,3075,36
16.44,3043,36
16.48,3055,36
16.52,3026,36
16.56,3031,36
16.6,2991,36
16.64,3000,36
16.68,2996,36
16.72,2998,36
16.76,3020,36
16.8,3006,36
16.84,2988,36
16.88,3004,36
16.92,2965,36
16.96,3009,36
17,2992,36
17.04,2998,36
17.08,3004,36
17.12,3000,36
17.16,2939,36
17.2,2970,36
17.24,2988,36
17.28,3006,36
17.32,3001,36
17.36,2985,36
17.4,3001,36
17.44,3004,36
17.48,3009,36
17.52,3043,36
17.56,3061,36
17.6,3071,36
17.64,3029,36
17.68,3024,36
17.72,2988,36
17.76,2989,36
17.8,2973,36
17.84,2980,35
17.88,3008,35
17.92,3036,35
17.96,3051,36
18,3079,35
18.04,3165,35
18.08,3250,35
18.12,3353,36
18.16,3469,36
18.2,3580,35
18.24,3765,36
18.28,3871,35
18.32,3988,36
18.36,4147,35
18.4,4141,36
18.44,4066,36
18.48,4079,36
18.52,4065,35
18.56,4003,36
18.6,4023,36
18.64,4009,35
18.68,3960,36
18.72,3989,36
18.76,3981,35
18.8,3920,36
18.84,3905,36
18.88,3914,36
18.92,3846,36
18.96,3828,36
19,3823,36
19.04,3803,36
19.08,3746,36
19.12,3736,35
19.16,3767,36
19.2,3754,35
19.24,3703,36
19.28,3705,36
19.32,3715,36
19.36,3757,36
19.4,3755,36
19.44,3711,36
19.48,3714,36
19.52,3767,36
19.56,3774,36
19.6,3729,36
19.64,3730,36
19.68,3755,36
19.72,3749,36
19.76,3712,36
19.8,3707,36
19.84,3683,36
19.88,3576,36
19.92,3505,36
19.96,3382,36
20,3151,36
20.04,3076,36
20.08,3050,36
20.12,3084,36
20.16,3097,36
20.2,3069,36
20.24,3081,36
20.28,3093,36
20.32,3105,36
20.36,3099,36
20.4,3083,36
20.44,3080,36
20.48,3044,36
20.52,3076,36
20.56,3079,36
20.6,3086,36
20.64,3080,36
20.68,3049,36
20.72,3015,36
20.76,3037,36
20.8,3043,36
20.84,3026,36
20.88,3031,36
20.92,3035,36
20.96,3078,36
21,3088,36
21.04,3103,36
21.08,3099,36
21.12,3071,36
21.16,3042,36
21.2,3067,36
21.24,3082,36
21.28,3084,36
21.32,3102,36
21.36,3052,36
21.4,3025,36
21.44,3000,36
21.48,3006,36
21.52,2974,36
21.56,2982,36
21.6,2987,36
21.64,2998,36
21.68,3029,36
21.72,3049,36
21.76,3053,36
21.8,3073,36
21.84,3088,36
21.88,3086,36
21.92,3059,36
21.96,3064,36
22,3072,36
22.04,3027,36
22.08,3062,36
22.12,3050,36
22.16,2997,36
22.2,3012,36
22.24,3039,36
22.28,3027,36
22.32,3048,36
22.36,3066,36
22.4,3081,36
22.44,3060,36
22.48,3044,37
